GPS Time,Number,CDH Temp,MB Temp,EPS Temp,X123 MB Temp,X123 Det Temp,X123_2 MB Temp,X123_2 Det Temp,EPS 3V,EPS 5V
1072930230,1,26.5,23.3125,24.875,0,0,0,0,3472,5016
1072930240,2,26.5,23.3125,24.875,0,0,0,0,3472,5016
1072930250,3,26.5,23.3125,24.8125,0,0,0,0,3472,5016
1072930260,4,26.5,23.375,24.8125,0,0,0,0,3472,5016
1072930270,5,26.5,23.375,24.8125,0,0,0,0,not received,not received
not received,1,26.625,23.4375,24.9375,0,0,0,0,3472,5016
not received,2,26.6875,23.4375,24.9375,0,0,0,0,3480,5016
not received,3,26.6875,23.4375,25.0,0,0,0,0,3472,5016
not received,4,26.6875,23.4375,25.0,0,0,0,0,3472,5016
not received,5,26.6875,23.4375,25.0,0,0,0,0,3472,5016
not received,6,26.6875,23.4375,25.0625,0,0,0,0,3472,5016
not received,1,26.6875,23.5,25.0625,0,0,0,0,3472,5016
1072930830,1,26.625,23.5,24.9375,0,0,0,0,3472,5016
1072930840,2,26.625,23.5,24.9375,0,0,0,0,3472,5016
1072931170,1,26.8125,23.5625,25.125,0,0,0,0,3480,5016
1072931310,1,26.875,23.625,25.1875,0,0,0,0,3480,5016
1072931320,2,26.875,23.625,25.1875,0,0,0,0,3472,5016
